date,trends_abnb,trends_airbnb
2026-03-28,0,74
2026-03-29,0,82
2026-03-30,1,100
2026-03-31,1,90
2026-04-01,1,74
2026-04-02,0,75
2026-04-03,0,72
2026-04-04,0,68
2026-04-05,0,81
2026-04-06,1,83
2026-04-07,0,79
2026-04-08,1,79
2026-04-09,0,78
2026-04-10,0,73
2026-04-11,0,73
2026-04-12,0,81
2026-04-13,1,77
2026-04-14,1,76
2026-04-15,0,75
2026-04-16,1,74
2026-04-17,1,79
2026-04-18,1,75
2026-04-19,1,83
2026-04-20,1,81
2026-04-21,1,80
2026-04-22,1,77
2026-04-23,1,74
2026-04-24,1,69
2026-04-25,0,70
2026-04-26,0,79
2026-04-27,0,76
2026-04-28,0,73
2026-04-29,1,72
2026-04-30,1,69
2026-05-01,1,71
2026-05-02,0,67
2026-05-03,0,82
2026-05-04,1,76
2026-05-05,1,73
2026-05-06,1,75
2026-05-07,1,72
2026-05-08,1,68
2026-05-09,0,67
2026-05-10,0,70
2026-05-11,1,82
2026-05-12,1,83
2026-05-13,1,75
2026-05-14,1,76
2026-05-15,0,73
2026-05-16,0,75
2026-05-17,0,82
2026-05-18,1,82
2026-05-19,1,83
2026-05-20,1,80
2026-05-21,1,78
2026-05-22,1,80
2026-05-23,0,88
2026-05-24,0,87
2026-05-25,1,93
2026-05-26,1,86
2026-05-27,1,87
2026-05-28,1,84
2026-05-29,1,81
2026-05-30,1,78
2026-05-31,0,92
2026-06-01,1,89
2026-06-02,1,89
2026-06-03,0,82
2026-06-04,1,82
2026-06-05,1,79
2026-06-06,1,83
2026-06-07,1,93
2026-06-08,1,92
2026-06-09,1,88
2026-06-10,1,89
2026-06-11,1,79
2026-06-12,1,74
2026-06-13,0,69
2026-06-14,0,73
2026-06-15,1,81
2026-06-16,1,85
2026-06-17,1,82
2026-06-18,1,76
2026-06-19,0,72
2026-06-20,0,73
2026-06-21,0,79
2026-06-22,1,86
2026-06-23,1,83
2026-06-24,1,85
2026-06-25,1,74
2026-06-26,1,76
