date,close_price,volume
2026-03-25,139.1300048828125,18708000
2026-03-26,132.92999267578125,15285500
2026-03-27,126.02999877929688,21475100
2026-03-30,121.44000244140625,15800400
2026-03-31,124.80000305175781,21290300
2026-04-01,122.77999877929688,15378300
2026-04-02,119.83000183105469,17609700
2026-04-06,127.69000244140625,18435900
2026-04-07,123.72000122070312,14284200
2026-04-08,128.3000030517578,17149200
2026-04-09,128.86000061035156,14497400
2026-04-10,128.63999938964844,13097500
2026-04-13,132.36000061035156,12804700
2026-04-14,137.41000366210938,20643200
2026-04-15,143.5399932861328,13941700
2026-04-16,148.94000244140625,17638000
2026-04-17,166.52000427246094,52173700
2026-04-20,170.80999755859375,22173500
2026-04-21,163.97000122070312,22153500
2026-04-22,179.36000061035156,31893900
2026-04-23,172.47000122070312,19559000
2026-04-24,171.02000427246094,14119400
2026-04-27,169.1999969482422,13295400
2026-04-28,165.7100067138672,13858700
2026-04-29,158.19000244140625,15146200
2026-04-30,165.4499969482422,12437800
2026-05-01,177.1699981689453,21661200
2026-05-04,183.8000030517578,18210200
2026-05-05,186.89999389648438,15512800
2026-05-06,186.82000732421875,14338600
2026-05-07,179.83999633789062,15918100
2026-05-08,187.58999633789062,15985200
2026-05-11,195.94000244140625,16063000
2026-05-12,184.4199981689453,14738500
2026-05-13,178.02999877929688,12480700
2026-05-14,186.97000122070312,15859400
2026-05-15,177.4199981689453,19654300
2026-05-18,166.6300048828125,19299700
2026-05-19,164.6300048828125,10002000
2026-05-20,165.80999755859375,9825300
2026-05-21,164.85000610351562,10526900
2026-05-22,159.88999938964844,12786800
2026-05-26,159.92999267578125,11819500
2026-05-27,154.1999969482422,11885100
2026-05-28,151.63999938964844,16275000
2026-05-29,159.08999633789062,19225600
2026-06-01,149.77999877929688,17780300
2026-06-02,136.0800018310547,31130800
2026-06-03,126.55000305175781,21141800
2026-06-04,129.3699951171875,24590400
2026-06-05,120.44000244140625,41943500
2026-06-08,127.19999694824219,20952000
2026-06-09,117.0199966430664,23055700
2026-06-10,115.3499984741211,15690800
2026-06-11,120.1500015258789,17574200
2026-06-12,123.97000122070312,16772200
2026-06-15,131.13999938964844,19982400
2026-06-16,122.80999755859375,17795600
2026-06-17,116.55999755859375,18052900
2026-06-18,112.52999877929688,35530700
2026-06-22,109.45999908447266,25287400
