earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-14,13.93,,,15332000000.0,16946000000.0,15901444530.0,18
2026-04-13,16.24,17.55,8.09,,,,-74
2026-01-15,11.76,14.01,19.09,,,,-162
2025-10-14,11.09,12.25,10.49,,,,-255
2025-07-16,9.62,10.91,13.39,,,,-345
2025-04-14,12.29,14.12,14.88,,,,-438
2025-01-15,8.29,10.97,32.26,,,,-527
2024-10-15,7.31,9.02,23.35,,,,-619
2024-07-15,8.4,8.41,0.14,,,,-711
2024-04-15,8.7,11.58,33.1,,,,-802
2024-01-16,4.27,5.48,28.33,,,,-892
2023-10-17,5.53,5.47,-1.02,,,,-983
2023-07-19,3.83,3.08,-19.55,,,,-1073
2023-04-18,8.06,8.79,9.07,,,,-1165
2023-01-17,5.77,3.32,-42.44,,,,-1256
2022-10-18,7.52,8.25,9.73,,,,-1347
2022-07-18,6.56,7.73,17.82,,,,-1439
2022-04-14,8.98,10.76,19.88,,,,-1534
2022-01-18,11.93,10.81,-9.37,,,,-1620
2021-10-15,10.01,14.93,49.14,,,,-1715
2021-07-13,10.18,15.02,47.52,,,,-1809
2021-04-14,10.19,18.6,82.6,,,,-1899
2021-01-19,7.36,12.55,70.43,,,,-1984
2020-10-14,5.5,9.68,75.85,,,,-2081
2020-07-15,3.91,6.26,60.16,,,,-2172
