date,trends_nvda,trends_nvidia
2026-03-25,13,37
2026-03-26,15,34
2026-03-27,14,38
2026-03-28,5,27
2026-03-29,4,29
2026-03-30,15,39
2026-03-31,17,44
2026-04-01,14,45
2026-04-02,13,39
2026-04-03,6,35
2026-04-04,3,28
2026-04-05,3,26
2026-04-06,13,41
2026-04-07,12,39
2026-04-08,16,49
2026-04-09,12,44
2026-04-10,13,42
2026-04-11,4,32
2026-04-12,4,30
2026-04-13,13,41
2026-04-14,15,45
2026-04-15,16,47
2026-04-16,16,47
2026-04-17,18,56
2026-04-18,5,38
2026-04-19,4,31
2026-04-20,15,41
2026-04-21,14,43
2026-04-22,14,43
2026-04-23,14,41
2026-04-24,19,46
2026-04-25,6,32
2026-04-26,5,33
2026-04-27,19,47
2026-04-28,19,42
2026-04-29,16,41
2026-04-30,16,46
2026-05-01,16,40
2026-05-02,5,28
2026-05-03,4,29
2026-05-04,15,34
2026-05-05,16,38
2026-05-06,22,46
2026-05-07,17,45
2026-05-08,18,44
2026-05-09,6,31
2026-05-10,5,32
2026-05-11,18,43
2026-05-12,17,42
2026-05-13,20,55
2026-05-14,28,65
2026-05-15,21,63
2026-05-16,6,52
2026-05-17,5,46
2026-05-18,19,58
2026-05-19,19,59
2026-05-20,55,100
2026-05-21,39,73
2026-05-22,22,62
2026-05-23,8,46
2026-05-24,5,46
2026-05-25,6,43
2026-05-26,18,58
2026-05-27,19,55
2026-05-28,17,56
2026-05-29,18,56
2026-05-30,6,48
2026-05-31,6,51
2026-06-01,25,80
2026-06-02,20,76
2026-06-03,18,58
2026-06-04,17,61
2026-06-05,19,59
2026-06-06,7,51
2026-06-07,5,48
2026-06-08,19,65
2026-06-09,15,38
2026-06-10,15,35
2026-06-11,14,34
2026-06-12,14,34
2026-06-13,3,24
2026-06-14,3,22
2026-06-15,15,35
2026-06-16,14,33
2026-06-17,12,30
2026-06-18,13,31
2026-06-19,5,23
2026-06-20,2,19
2026-06-21,2,19
2026-06-22,12,35
2026-06-23,5,28
