earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-20,0.74,,,185340000000.0,188912774310.0,186981889520.0,55
2026-05-21,0.66,0.66,0.19,,,,-36
2026-02-19,0.73,0.74,1.79,,,,-127
2025-11-20,0.6,0.62,3.11,,,,-218
2025-08-21,0.74,0.68,-7.97,,,,-309
2025-05-15,0.58,0.61,5.64,,,,-407
2025-02-20,0.65,0.66,2.04,,,,-491
2024-11-19,0.53,0.58,8.84,,,,-584
2024-08-15,0.65,0.67,3.76,,,,-680
2024-05-16,0.53,0.6,14.24,,,,-771
2024-02-20,0.55,0.6,9.35,,,,-857
2023-11-16,0.51,0.51,0.39,,,,-953
2023-08-17,0.57,0.61,7.88,,,,-1044
2023-05-18,0.44,0.49,11.64,,,,-1135
2023-02-21,0.5,0.57,12.88,,,,-1221
2022-11-15,0.44,0.5,13.95,,,,-1319
2022-08-16,0.54,0.59,10.02,,,,-1410
2022-05-17,0.49,0.43,-12.1,,,,-1501
2022-02-17,0.5,0.51,2.21,,,,-1590
2021-11-16,0.46,0.48,3.97,,,,-1683
2021-08-17,0.52,0.59,13.17,,,,-1774
2021-05-18,0.4,0.56,40.06,,,,-1865
2021-02-18,0.5,0.46,-8.0,,,,-1954
2020-11-17,0.4,0.45,12.8,,,,-2047
2020-08-18,0.42,0.52,24.11,,,,-2138
