date,close_price,volume,volume_anomaly
2026-03-30,137.5500030517578,41289800,0
2026-03-31,146.27999877929688,45558600,0
2026-04-01,146.49000549316406,34171000,0
2026-04-02,148.4600067138672,30437000,0
2026-04-06,147.92999267578125,25142200,0
2026-04-07,150.07000732421875,28671100,0
2026-04-08,140.75999450683594,64827700,0
2026-04-09,130.49000549316406,92361400,1
2026-04-10,128.05999755859375,116656800,0
2026-04-13,132.3699951171875,65772800,0
2026-04-14,135.6999969482422,52786800,0
2026-04-15,142.14999389648438,48389400,0
2026-04-16,142.75999450683594,43746000,0
2026-04-17,146.38999938964844,50657600,0
2026-04-20,145.88999938964844,33482700,0
2026-04-21,145.97000122070312,44830000,0
2026-04-22,152.6199951171875,43701500,0
2026-04-23,141.57000732421875,58654400,0
2026-04-24,143.08999633789062,38677200,0
2026-04-27,143.10000610351562,31275400,0
2026-04-28,141.17999267578125,24757200,0
2026-04-29,137.97000122070312,33348100,0
2026-04-30,139.11000061035156,32523600,0
2026-05-01,144.07000732421875,33219900,0
2026-05-04,146.02999877929688,70525900,0
2026-05-05,135.91000366210938,89747100,0
2026-05-06,133.7899932861328,55524800,0
2026-05-07,137.0500030517578,50184900,0
2026-05-08,137.8000030517578,41745400,0
2026-05-11,136.88999938964844,41414500,0
2026-05-12,136.0,38781100,0
2026-05-13,130.0500030517578,55189400,0
2026-05-14,133.72999572753906,37052600,0
2026-05-15,133.99000549316406,32629700,0
2026-05-18,135.13999938964844,32034600,0
2026-05-19,135.25999450683594,29777300,0
2026-05-20,137.14999389648438,31307700,0
2026-05-21,137.4149932861328,24311900,0
2026-05-22,136.8800048828125,27578000,0
2026-05-26,136.60000610351562,31723900,0
2026-05-27,132.50999450683594,34159800,0
2026-05-28,143.33999633789062,52085200,0
2026-05-29,156.5399932861328,92196600,1
2026-06-01,160.64999389648438,57654000,0
2026-06-02,152.1699981689453,43163100,0
2026-06-03,142.1999969482422,41072500,0
2026-06-04,141.6999969482422,40834000,0
2026-06-05,135.52999877929688,38283500,0
2026-06-08,136.47000122070312,26978900,0
2026-06-09,132.07000732421875,38680000,0
2026-06-10,130.2100067138672,30612600,0
2026-06-11,131.0800018310547,27554500,0
2026-06-12,127.98999786376953,35378000,0
2026-06-15,134.7100067138672,41748200,0
2026-06-16,133.25,30409900,0
2026-06-17,130.6300048828125,32290800,0
2026-06-18,128.47000122070312,55338000,0
2026-06-22,119.5,56924500,0
2026-06-23,116.69999694824219,44661900,0
2026-06-24,113.5,46520700,0
2026-06-25,107.2699966430664,61840100,0
