earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-28,1.28,,,8285000000.0,8646000000.0,8468256139.0,32
2026-05-05,1.27,1.34,5.59,,,,-52
2026-02-03,1.29,1.23,-4.4,,,,-143
2025-10-28,1.21,1.34,11.14,,,,-241
2025-07-29,1.3,1.4,8.0,,,,-332
2025-04-29,1.16,1.33,14.53,,,,-423
2025-02-04,1.12,1.19,5.96,,,,-507
2024-10-29,1.07,1.2,12.16,,,,-605
2024-07-30,0.99,1.19,20.63,,,,-696
2024-04-30,1.22,1.08,-11.42,,,,-787
2024-02-07,1.36,1.48,8.65,,,,-870
2023-11-01,1.23,1.3,5.78,,,,-968
2023-08-02,1.16,1.16,-0.29,,,,-1059
2023-05-08,1.1,1.17,6.4,,,,-1145
2023-02-09,1.2,1.24,3.38,,,,-1233
2022-11-03,0.96,1.08,12.46,,,,-1331
2022-08-02,0.87,0.93,6.68,,,,-1424
2022-04-27,0.88,0.88,0.26,,,,-1521
2022-02-01,1.12,1.11,-1.04,,,,-1606
2021-11-08,1.08,1.11,3.12,,,,-1691
2021-07-28,1.12,1.15,2.31,,,,-1794
2021-05-05,1.02,1.22,19.99,,,,-1878
2021-02-03,1.0,1.08,8.33,,,,-1969
2020-11-02,0.94,1.07,13.49,,,,-2062
2020-07-29,0.87,1.07,22.53,,,,-2158
