earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-30,1.81,,,186000000000.0,199557000000.0,195815048890.0,37
2026-04-29,1.64,2.78,69.02,,,,-55
2026-02-05,1.95,1.95,0.22,,,,-138
2025-10-30,1.56,1.95,25.2,,,,-236
2025-07-31,1.32,1.68,27.19,,,,-327
2025-05-01,1.36,1.59,16.77,,,,-418
2025-02-06,1.48,1.86,25.29,,,,-502
2024-10-31,1.14,1.43,25.22,,,,-600
2024-08-01,1.02,1.26,23.76,,,,-691
2024-04-30,0.83,0.98,17.67,,,,-784
2024-02-01,0.8,1.0,24.38,,,,-873
2023-10-26,0.58,0.94,62.22,,,,-971
2023-08-03,0.34,0.65,91.19,,,,-1055
2023-04-27,0.21,0.31,44.29,,,,-1153
2023-02-02,0.17,0.03,-82.2,,,,-1237
2022-10-27,0.21,0.28,35.53,,,,-1335
2022-07-28,0.12,-0.2,-273.3,,,,-1426
2022-04-28,0.42,-0.38,-190.58,,,,-1517
2022-02-03,0.18,1.39,657.12,,,,-1601
2021-10-28,0.44,0.31,-31.21,,,,-1699
2021-07-29,0.61,0.76,23.06,,,,-1790
2021-04-29,0.47,0.79,67.3,,,,-1881
2021-02-02,0.35,0.7,100.1,,,,-1967
2020-10-29,0.38,0.62,64.25,,,,-2063
2020-07-30,0.08,0.52,582.21,,,,-2154
