earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-30,2.82,,,997000000.0,1112000000.0,1057538960.0,34
2026-04-30,2.96,3.22,8.95,,,,-57
2026-02-24,5.24,4.84,-7.6,,,,-122
2025-10-30,4.29,4.24,-1.13,,,,-239
2025-07-31,2.68,3.18,18.77,,,,-330
2025-04-29,2.47,1.95,-21.01,,,,-423
2025-02-25,4.73,3.65,-22.75,,,,-486
2024-10-29,3.15,2.91,-7.54,,,,-605
2024-07-30,2.66,3.25,22.25,,,,-696
2024-05-01,1.99,2.2,10.34,,,,-786
2024-02-27,3.13,3.25,3.67,,,,-850
2023-10-31,2.04,2.5,22.79,,,,-969
2023-07-27,0.96,1.89,97.41,,,,-1065
2023-04-27,0.95,0.4,-58.0,,,,-1156
2023-02-28,-0.15,-0.07,52.16,,,,-1214
2022-10-27,-0.18,-0.46,-159.2,,,,-1338
2022-07-28,-0.11,-0.4,-262.88,,,,-1429
2022-04-28,-0.43,-0.41,3.62,,,,-1520
2022-03-01,1.06,1.23,15.72,,,,-1578
2021-11-04,0.6,0.44,-27.05,,,,-1695
2021-07-29,0.56,0.78,39.4,,,,-1793
2021-04-29,0.83,0.81,-3.14,,,,-1884
2021-02-25,1.23,1.08,-12.04,,,,-1947
2020-10-27,0.62,1.45,134.21,,,,-2068
2020-08-06,0.28,0.35,26.04,,,,-2150
