earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-06,-0.07,,,220746480.0,235520000.0,231324260.0,43
2026-05-07,-0.04,-0.02,58.2,,,,-48
2026-02-26,-0.05,-0.05,10.0,,,,-118
2025-11-10,-0.06,-0.02,66.75,,,,-226
2025-08-07,-0.08,-0.08,-2.19,,,,-321
2025-05-08,-0.12,-0.12,0.54,,,,-412
2025-02-27,-0.07,-0.06,18.24,,,,-482
2024-11-12,-0.08,-0.07,13.17,,,,-589
2024-08-08,-0.1,-0.08,21.16,,,,-685
2024-05-06,-0.08,-0.06,25.67,,,,-779
2024-02-27,-0.07,-0.08,-4.51,,,,-848
2023-11-08,-0.05,-0.04,14.67,,,,-959
2023-08-08,-0.07,-0.05,28.38,,,,-1051
2023-05-09,-0.08,-0.06,19.85,,,,-1142
2023-02-28,-0.06,-0.04,32.59,,,,-1212
2022-11-09,-0.05,-0.03,34.12,,,,-1323
2022-08-11,-0.03,-0.04,-27.84,,,,-1413
2022-05-16,-0.05,-0.06,-10.89,,,,-1500
2022-03-24,-0.05,0.37,840.0,,,,-1553
2021-11-15,-0.12,-0.39,-225.0,,,,-1682
