earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-05,-0.38,,,35000000.0,80200000.0,52060540.0,40
2026-05-06,-0.37,-0.06,83.78,,,,-51
2026-02-26,-0.55,0.11,120.24,,,,-120
2025-11-06,-1.13,-0.47,58.04,,,,-232
2025-08-06,0.06,0.62,1000.27,,,,-324
2025-05-08,0.71,2.93,313.53,,,,-414
2025-02-27,-0.51,-0.52,-1.21,,,,-484
2024-11-12,-0.75,-0.76,-1.88,,,,-591
2024-08-08,1.7,0.99,-41.76,,,,-687
2024-05-10,-1.08,-1.05,2.78,,,,-777
2024-02-28,-0.35,-1.44,-313.4,,,,-849
2023-11-09,-2.21,-1.26,42.99,,,,-960
2023-08-08,-1.16,0.58,149.81,,,,-1053
2023-05-09,-3.42,-3.41,0.29,,,,-1144
2023-02-28,-1.05,-2.28,-117.56,,,,-1214
2022-11-08,1.59,-2.15,-235.01,,,,-1326
2022-08-08,5.18,-6.53,-225.96,,,,-1418
2022-05-09,2.65,2.56,-3.54,,,,-1509
2022-02-28,-1.8,-11.18,-520.36,,,,-1579
2021-11-04,-3.55,-4.31,-21.49,,,,-1695
2021-08-05,-3.25,-4.75,-46.17,,,,-1786
2021-05-10,-3.6,-3.05,15.25,,,,-1873
2021-03-01,-2.24,-2.7,-20.66,,,,-1943
2020-11-09,1.73,-3.21,-285.41,,,,-2055
2020-08-10,-0.33,-0.3,9.77,,,,-2146
