earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-06,3.35,,,6947000000.0,7375867240.0,7160063080.0,43
2026-05-07,2.74,2.83,3.11,,,,-48
2026-02-11,3.05,3.12,2.22,,,,-133
2025-11-05,3.33,3.22,-3.36,,,,-231
2025-08-06,3.15,3.19,1.39,,,,-322
2025-05-01,2.67,2.67,-0.02,,,,-419
2025-02-10,2.86,2.83,-0.97,,,,-499
2024-10-29,3.2,3.23,0.88,,,,-603
2024-07-29,3.07,2.97,-3.18,,,,-695
2024-04-30,2.73,2.7,-0.95,,,,-785
2024-02-05,2.83,2.95,4.39,,,,-870
2023-10-30,2.99,3.19,6.52,,,,-968
2023-07-27,2.79,3.17,13.66,,,,-1063
2023-04-25,2.34,2.63,12.55,,,,-1156
2023-01-31,2.46,2.59,5.25,,,,-1240
2022-10-27,2.58,2.68,3.92,,,,-1336
2022-07-26,2.47,2.55,3.39,,,,-1429
2022-04-28,2.18,2.28,4.67,,,,-1518
2022-01-27,2.34,2.23,-4.8,,,,-1609
2021-10-27,2.47,2.76,11.93,,,,-1701
2021-07-28,2.12,2.37,11.81,,,,-1792
2021-04-29,1.82,1.92,5.35,,,,-1882
2021-01-28,1.78,1.7,-4.55,,,,-1973
2020-11-09,1.9,2.22,16.85,,,,-2053
2020-07-28,0.75,0.66,-12.39,,,,-2157
