earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-10,0.36,,,,,,47
2026-05-04,0.22,0.27,24.71,1142000000.0,1164000000.0,1148116500.0,-51
2026-02-12,0.67,0.67,-0.69,,,,-132
2025-11-04,0.42,0.38,-8.82,,,,-232
2025-08-07,0.35,0.33,-6.17,,,,-321
2025-05-08,0.26,0.23,-9.81,,,,-412
2025-02-06,0.65,0.56,-13.41,,,,-503
2024-11-07,0.34,0.4,16.31,,,,-594
2024-07-30,0.28,0.29,4.2,,,,-694
2024-04-30,0.13,0.2,48.82,,,,-785
2024-02-08,0.51,0.53,3.42,,,,-867
2023-10-30,0.2,0.28,40.42,,,,-968
2023-08-01,0.12,0.21,75.03,,,,-1058
2023-04-27,0.02,0.08,355.58,,,,-1154
2023-02-06,0.27,0.29,5.49,,,,-1234
2022-10-27,0.06,0.11,87.94,,,,-1336
2022-08-01,0.18,0.11,-37.72,,,,-1423
2022-04-27,0.04,0.1,185.71,,,,-1519
2022-02-03,0.45,0.49,7.74,,,,-1602
2021-11-04,0.23,0.28,19.49,,,,-1693
2021-07-29,0.13,0.25,91.67,,,,-1791
2021-04-27,0.07,0.11,63.76,,,,-1884
2021-02-04,0.33,0.43,29.73,,,,-1966
2020-10-28,0.03,0.13,384.17,,,,-2065
2020-07-31,-0.13,-0.07,47.31,,,,-2154
