date,trends_gme,trends_gamestop
2026-03-25,16,47
2026-03-26,12,50
2026-03-27,12,80
2026-03-28,5,77
2026-03-29,5,74
2026-03-30,13,56
2026-03-31,12,49
2026-04-01,12,55
2026-04-02,11,54
2026-04-03,7,61
2026-04-04,5,70
2026-04-05,5,70
2026-04-06,12,52
2026-04-07,11,47
2026-04-08,12,47
2026-04-09,10,46
2026-04-10,11,51
2026-04-11,5,63
2026-04-12,5,60
2026-04-13,10,46
2026-04-14,12,46
2026-04-15,15,52
2026-04-16,16,58
2026-04-17,16,59
2026-04-18,6,70
2026-04-19,6,67
2026-04-20,13,51
2026-04-21,14,55
2026-04-22,16,52
2026-04-23,17,52
2026-04-24,13,57
2026-04-25,6,66
2026-04-26,5,66
2026-04-27,14,47
2026-04-28,13,46
2026-04-29,12,45
2026-04-30,13,52
2026-05-01,23,65
2026-05-02,16,88
2026-05-03,11,78
2026-05-04,51,100
2026-05-05,32,80
2026-05-06,24,64
2026-05-07,18,58
2026-05-08,15,58
2026-05-09,6,65
2026-05-10,6,63
2026-05-11,17,51
2026-05-12,22,56
2026-05-13,15,51
2026-05-14,15,56
2026-05-15,13,54
2026-05-16,6,68
2026-05-17,6,74
2026-05-18,13,57
2026-05-19,13,54
2026-05-20,13,57
2026-05-21,13,61
2026-05-22,12,86
2026-05-23,6,78
2026-05-24,5,71
2026-05-25,6,68
2026-05-26,13,51
2026-05-27,12,55
2026-05-28,11,57
2026-05-29,13,61
2026-05-30,7,66
2026-05-31,6,68
2026-06-01,12,56
2026-06-02,16,54
2026-06-03,23,55
2026-06-04,15,53
2026-06-05,13,52
2026-06-06,7,60
2026-06-07,6,64
2026-06-08,13,53
2026-06-09,15,50
2026-06-10,12,49
2026-06-11,13,49
2026-06-12,11,52
2026-06-13,6,55
2026-06-14,6,51
2026-06-15,11,44
2026-06-16,11,46
2026-06-17,10,47
2026-06-18,10,54
2026-06-19,7,56
2026-06-20,5,61
2026-06-21,5,62
2026-06-22,10,47
2026-06-23,0,0
