earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-21,3.19,,,45058000000.0,48625000000.0,46944775440.0,27
2026-04-28,2.64,3.7,40.19,,,,-57
2026-01-27,2.27,2.51,10.65,,,,-148
2025-10-21,2.32,2.8,20.55,,,,-246
2025-07-22,2.48,2.53,2.15,,,,-337
2025-04-29,2.67,2.78,4.28,,,,-421
2025-01-28,1.84,1.92,4.3,,,,-512
2024-10-22,2.39,2.96,23.78,,,,-610
2024-07-23,2.7,3.06,13.36,,,,-701
2024-04-23,2.12,2.62,23.63,,,,-792
2024-01-30,1.14,1.24,8.78,,,,-876
2023-10-24,1.84,2.28,24.06,,,,-974
2023-07-25,1.84,1.91,3.98,,,,-1065
2023-04-25,1.73,2.21,27.86,,,,-1156
2023-01-31,1.68,2.12,26.05,,,,-1240
2022-10-25,1.88,2.25,19.63,,,,-1338
2022-07-26,1.32,1.14,-13.5,,,,-1429
2022-04-26,1.66,2.09,25.56,,,,-1520
2022-02-01,1.15,1.35,17.31,,,,-1604
2021-10-27,0.97,1.52,57.06,,,,-1701
2021-08-04,1.83,1.97,7.87,,,,-1785
2021-05-05,1.05,2.25,114.21,,,,-1876
2021-02-10,1.64,1.93,17.6,,,,-1960
2020-11-05,1.43,2.83,97.97,,,,-2057
2020-07-29,-1.78,-0.5,71.86,,,,-2156
