earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-31,-2.09,,,71100000.0,155000000.0,101771860.0,35
2026-04-30,-3.96,-1.18,70.18,,,,-57
2026-02-13,-2.64,-2.11,20.18,,,,-133
2025-11-06,-2.16,-0.51,76.42,,,,-232
2025-08-01,-3.0,-2.13,28.96,,,,-329
2025-05-01,-3.11,-2.52,18.89,,,,-421
2025-02-14,-2.73,-2.91,-6.65,,,,-497
2024-11-07,-1.94,0.03,101.55,,,,-596
2024-08-01,-3.35,-3.33,0.65,,,,-694
2024-05-02,-3.57,-3.07,14.06,,,,-785
2024-02-22,-0.99,0.55,155.57,,,,-855
2023-11-02,-2.05,-9.53,-364.44,,,,-967
2023-08-03,-4.12,-3.62,12.16,,,,-1058
2023-05-04,-1.73,0.19,111.0,,,,-1149
2023-02-23,4.6,3.61,-21.5,,,,-1219
2022-11-03,3.11,2.53,-18.61,,,,-1331
2022-08-03,4.49,5.24,16.64,,,,-1423
2022-05-04,5.62,8.58,52.59,,,,-1514
2022-02-24,9.81,11.29,15.11,,,,-1583
2021-11-04,9.42,7.7,-18.26,,,,-1695
2021-08-05,5.86,6.46,10.31,,,,-1786
2021-05-06,2.47,2.84,15.12,,,,-1877
2021-02-25,-0.36,-0.69,-89.56,,,,-1947
2020-10-29,-0.37,-0.59,-60.42,,,,-2066
2020-08-05,-0.36,-0.31,14.6,,,,-2151
