date,close_price,volume,volume_anomaly
2026-03-30,246.40298461914062,39446200,0
2026-03-31,253.55638122558594,49598100,0
2026-04-01,255.3946990966797,40059400,0
2026-04-02,255.68443298339844,31289400,0
2026-04-06,258.6217041015625,29329900,0
2026-04-07,253.26666259765625,62148000,0
2026-04-08,258.66168212890625,41032800,0
2026-04-09,260.2502136230469,28121600,0
2026-04-10,260.240234375,31291500,0
2026-04-13,258.96142578125,36234700,0
2026-04-14,258.59173583984375,48370700,0
2026-04-15,266.18475341796875,49913500,0
2026-04-16,263.15753173828125,43323100,0
2026-04-17,269.98126220703125,61436200,0
2026-04-20,272.79864501953125,36590200,0
2026-04-21,265.9250183105469,50209800,0
2026-04-22,272.9185791015625,43249200,0
2026-04-23,273.1783142089844,33399600,0
2026-04-24,270.81048583984375,38157100,0
2026-04-27,267.3636474609375,41466800,0
2026-04-28,270.4608154296875,40018900,0
2026-04-29,269.92132568359375,30047900,0
2026-04-30,271.1002502441406,91848200,1
2026-05-01,279.88214111328125,79915400,1
2026-05-04,276.5751647949219,46668400,0
2026-05-05,283.9184265136719,49311700,0
2026-05-06,287.245361328125,58336100,0
2026-05-07,287.1754150390625,45224300,0
2026-05-08,293.0500183105469,52692800,0
2026-05-11,292.67999267578125,42247300,0
2026-05-12,294.79998779296875,45748100,0
2026-05-13,298.8699951171875,52684300,0
2026-05-14,298.2099914550781,35324900,0
2026-05-15,300.2300109863281,54862800,0
2026-05-18,297.8399963378906,34483000,0
2026-05-19,298.9700012207031,42243600,0
2026-05-20,302.25,38229800,0
2026-05-21,304.989990234375,42965100,0
2026-05-22,308.82000732421875,43670200,0
2026-05-26,308.3299865722656,48000500,0
2026-05-27,310.8500061035156,50430900,0
2026-05-28,312.510009765625,48220400,0
2026-05-29,312.05999755859375,70026800,0
2026-06-01,306.30999755859375,48849900,0
2026-06-02,315.20001220703125,44534700,0
2026-06-03,310.260009765625,50836700,0
2026-06-04,311.2300109863281,44869100,0
2026-06-05,307.3399963378906,65310500,0
2026-06-08,301.5400085449219,77949100,0
2026-06-09,290.54998779296875,70108800,0
2026-06-10,291.5799865722656,52793300,0
2026-06-11,295.6300048828125,42572500,0
2026-06-12,291.1300048828125,38742100,0
2026-06-15,296.4200134277344,45732600,0
2026-06-16,299.239990234375,39874400,0
2026-06-17,295.95001220703125,42745100,0
2026-06-18,298.010009765625,85962200,1
2026-06-22,297.010009765625,44879900,0
2026-06-23,294.29998779296875,52010900,0
2026-06-24,293.0799865722656,53081900,0
2026-06-25,275.1499938964844,107013700,1
