date,close_price,volume,volume_anomaly
2026-03-30,124.12999725341797,4487500,0
2026-03-31,134.64999389648438,5443800,0
2026-04-01,136.17999267578125,3932000,0
2026-04-02,136.0,3077700,0
2026-04-06,138.33999633789062,3208700,0
2026-04-07,141.13999938964844,2340500,0
2026-04-08,145.0,3995800,0
2026-04-09,138.3800048828125,5076500,0
2026-04-10,139.72999572753906,3259500,0
2026-04-13,149.35000610351562,3638900,0
2026-04-14,154.5399932861328,4453100,0
2026-04-15,158.47999572753906,4173900,0
2026-04-16,162.4499969482422,4032300,0
2026-04-17,163.8000030517578,4068600,0
2026-04-20,166.27999877929688,3055100,0
2026-04-21,156.82000732421875,4777200,0
2026-04-22,164.30999755859375,2890100,0
2026-04-23,152.9600067138672,3707900,0
2026-04-24,154.88999938964844,3242200,0
2026-04-27,160.2100067138672,3311700,0
2026-04-28,147.92999267578125,5156300,0
2026-04-29,147.75,3373200,0
2026-04-30,147.22999572753906,9383400,1
2026-05-01,166.47999572753906,14252200,1
2026-05-04,169.07000732421875,6092000,0
2026-05-05,171.6300048828125,7080600,0
2026-05-06,166.55999755859375,7179800,0
2026-05-07,163.9499969482422,5444700,0
2026-05-08,155.8000030517578,5779000,0
2026-05-11,159.50999450683594,5077700,0
2026-05-12,152.35000610351562,4698100,0
2026-05-13,154.1199951171875,4151100,0
2026-05-14,156.30999755859375,3266000,0
2026-05-15,158.1699981689453,3340000,0
2026-05-18,159.11000061035156,3457200,0
2026-05-19,154.8800048828125,4080700,0
2026-05-20,146.72000122070312,10395700,1
2026-05-21,150.0399932861328,3494500,0
2026-05-22,141.6699981689453,7849900,0
2026-05-26,144.63999938964844,5398400,0
2026-05-27,154.19000244140625,5704900,0
2026-05-28,167.69000244140625,5726000,0
2026-05-29,176.0,9350300,0
2026-06-01,177.85000610351562,5794900,0
2026-06-02,169.1300048828125,4316500,0
2026-06-03,169.49000549316406,3399100,0
2026-06-04,183.91000366210938,7381000,0
2026-06-05,173.4499969482422,5965600,0
2026-06-08,171.1300048828125,3031400,0
2026-06-09,178.11000061035156,5237700,0
2026-06-10,172.2100067138672,3235200,0
2026-06-11,173.25999450683594,3207900,0
2026-06-12,162.10000610351562,5768000,0
2026-06-15,181.8800048828125,4844000,0
2026-06-16,175.38999938964844,3562100,0
2026-06-17,165.9499969482422,4405000,0
2026-06-18,174.9600067138672,5337400,0
2026-06-22,170.44000244140625,4386400,0
2026-06-23,165.6300048828125,3364900,0
2026-06-24,160.72000122070312,4166300,0
2026-06-25,158.02000427246094,2780600,0
