date,close_price,volume
2026-03-25,193.50999450683594,1141000
2026-03-26,185.8300018310547,1568200
2026-03-27,190.2899932861328,2260100
2026-03-30,184.6999969482422,1737800
2026-03-31,197.25999450683594,2280400
2026-04-01,199.4199981689453,1580200
2026-04-02,195.32000732421875,1527300
2026-04-06,195.57000732421875,1599800
2026-04-07,192.30999755859375,1858600
2026-04-08,200.77999877929688,1395800
2026-04-09,197.25,1054700
2026-04-10,203.47000122070312,1610400
2026-04-13,200.35000610351562,1621300
2026-04-14,200.61000061035156,2496100
2026-04-15,195.1999969482422,3515400
2026-04-16,191.64999389648438,2498700
2026-04-17,190.44000244140625,3406200
2026-04-20,192.49000549316406,1868800
2026-04-21,186.61000061035156,1860900
2026-04-22,188.7100067138672,1967300
2026-04-23,196.19000244140625,2212500
2026-04-24,193.75999450683594,1506400
2026-04-27,197.47999572753906,1999700
2026-04-28,195.86000061035156,1687600
2026-04-29,190.61000061035156,1671400
2026-04-30,201.88999938964844,3259000
2026-05-01,211.7100067138672,5067600
2026-05-04,211.38999938964844,2927600
2026-05-05,219.3800048828125,3165100
2026-05-06,218.0,2513200
2026-05-07,214.57000732421875,3018500
2026-05-08,219.9499969482422,1938300
2026-05-11,233.27000427246094,4050600
2026-05-12,228.05999755859375,2694400
2026-05-13,234.60000610351562,2629800
2026-05-14,231.6199951171875,1854300
2026-05-15,233.3699951171875,2350600
2026-05-18,233.63999938964844,2002200
2026-05-19,221.7100067138672,1848000
2026-05-20,237.86000061035156,2326500
2026-05-21,248.8800048828125,4296000
2026-05-22,257.8500061035156,2476700
2026-05-26,269.95001220703125,3969400
2026-05-27,273.6700134277344,2078600
2026-05-28,303.3800048828125,5596400
2026-05-29,306.7900085449219,5993400
2026-06-01,303.0,3371500
2026-06-02,311.010009765625,2962700
2026-06-03,318.25,2702100
2026-06-04,314.95001220703125,2719900
2026-06-05,279.010009765625,3903900
2026-06-08,275.3900146484375,2278700
2026-06-09,262.19000244140625,2817500
2026-06-10,249.27000427246094,2624000
2026-06-11,271.1700134277344,2467700
2026-06-12,267.30999755859375,1793500
2026-06-15,273.510009765625,2060500
2026-06-16,264.3599853515625,1897300
2026-06-17,254.8000030517578,1743300
2026-06-18,257.70001220703125,3682700
2026-06-22,263.1099853515625,2081600
